H1_Start,H2_Start,Direction,H1_High,H1_Low,H2_Open,Sweep_Time,Return_Time,Worked
2018-01-29 05:00:00,2018-01-29 06:00:00,Down,8137.496013,8123.285339,8136.625971,2018-01-29 06:00:00,2018-01-29 06:20:00,True
2018-01-29 07:00:00,2018-01-29 08:00:00,Up,8139.816123,8128.7956,8131.11571,2018-01-29 08:01:00,2018-01-29 08:22:00,True
2018-01-29 09:00:00,2018-01-29 10:00:00,Up,8139.526109,8098.924183,8113.714885,2018-01-29 10:11:00,2018-01-29 10:20:00,True
2018-01-29 11:00:00,2018-01-29 12:00:00,Down,8143.006274,8119.225146,8140.39615,2018-01-29 12:03:00,2018-01-29 12:32:00,True
2018-01-29 12:00:00,2018-01-29 13:00:00,Up,8152.286714,8133.145806,8136.625971,2018-01-29 13:10:00,2018-01-29 13:21:00,True
2018-01-29 17:00:00,2018-01-29 18:00:00,Down,8126.765504,8110.524733,8125.315435,2018-01-29 18:09:00,2018-01-29 18:20:00,True
2018-01-29 18:00:00,2018-01-29 19:00:00,Up,8127.925559,8117.19505,8117.775077,2018-01-29 19:00:00,2018-01-29 19:33:00,True
2018-01-29 19:00:00,2018-01-29 20:00:00,Down,8118.355105,8106.754554,8118.065091,2018-01-29 20:00:00,2018-01-29 20:21:00,True
2018-01-29 20:00:00,2018-01-29 21:00:00,Up,8122.415297,8116.034995,8119.51516,2018-01-29 21:13:00,N/A,False
2018-01-29 21:00:00,2018-01-29 22:00:00,Up,8121.545256,8063.542505,8070.502835,2018-01-29 22:13:00,N/A,False
2018-01-30 00:00:00,2018-01-30 01:00:00,Down,8073.983,8055.712133,8073.402972,2018-01-30 01:00:00,2018-01-30 01:20:00,True
2018-01-30 01:00:00,2018-01-30 02:00:00,Down,8082.103385,8060.932381,8068.182725,2018-01-30 02:12:00,2018-01-30 02:21:00,True
2018-01-30 03:00:00,2018-01-30 04:00:00,Down,8082.973426,8068.472738,8082.393399,2018-01-30 04:00:00,2018-01-30 04:20:00,True
2018-01-30 04:00:00,2018-01-30 05:00:00,Up,8083.843468,8069.632793,8071.66289,2018-01-30 05:08:00,2018-01-30 05:20:00,True
2018-01-30 05:00:00,2018-01-30 06:00:00,Down,8080.073289,8068.762752,8071.082862,2018-01-30 06:19:00,2018-01-30 06:38:00,True
2018-01-30 07:00:00,2018-01-30 08:00:00,Up,8079.203247,8052.231968,8053.392023,2018-01-30 08:00:00,2018-01-30 08:32:00,True
2018-01-30 08:00:00,2018-01-30 09:00:00,Up,8062.092436,8019.460413,8026.710757,2018-01-30 09:03:00,2018-01-30 09:21:00,True
2018-01-30 09:00:00,2018-01-30 10:00:00,Down,8069.632793,8007.569849,8067.312683,2018-01-30 10:00:00,2018-01-30 10:22:00,True
2018-01-30 10:00:00,2018-01-30 11:00:00,Up,8084.713509,8047.301734,8050.491885,2018-01-30 11:01:00,2018-01-30 11:20:00,True
2018-01-30 11:00:00,2018-01-30 12:00:00,Up,8060.932381,8034.251115,8042.951528,2018-01-30 12:01:00,2018-01-30 12:37:00,True
2018-01-30 12:00:00,2018-01-30 13:00:00,Down,8060.062339,8022.650565,8054.262064,2018-01-30 13:05:00,2018-01-30 13:21:00,True
2018-01-30 17:00:00,2018-01-30 18:00:00,Down,8061.802422,8047.01172,8052.521982,2018-01-30 18:08:00,2018-01-30 18:57:00,True
2018-01-30 20:00:00,2018-01-30 21:00:00,Down,8072.822945,8056.582174,8071.372876,2018-01-30 21:00:00,N/A,False
2018-01-30 22:00:00,2018-01-30 23:00:00,Up,8085.003523,8076.593124,8081.813371,2018-01-30 23:12:00,N/A,False
2018-01-31 00:00:00,2018-01-31 01:00:00,Down,8069.922807,8054.262064,8067.312683,2018-01-31 01:07:00,N/A,False
2018-01-31 01:00:00,2018-01-31 02:00:00,Down,8082.683413,8064.70256,8080.653316,2018-01-31 02:04:00,N/A,False
2018-01-31 03:00:00,2018-01-31 04:00:00,Up,8082.103385,8067.892711,8074.853041,2018-01-31 04:17:00,N/A,False
2018-01-31 04:00:00,2018-01-31 05:00:00,Down,8076.593124,8063.832518,8073.112959,2018-01-31 05:08:00,2018-01-31 05:31:00,True
2018-01-31 05:00:00,2018-01-31 06:00:00,Down,8081.233344,8066.152628,8075.723082,2018-01-31 06:16:00,N/A,False
2018-01-31 06:00:00,2018-01-31 07:00:00,Down,8091.963853,8073.983,8091.673839,2018-01-31 07:00:00,2018-01-31 07:20:00,True
2018-01-31 08:00:00,2018-01-31 09:00:00,Up,8109.944706,8085.58355,8097.764128,2018-01-31 09:03:00,2018-01-31 09:20:00,True
2018-01-31 09:00:00,2018-01-31 10:00:00,Up,8105.304486,8076.30311,8083.26344,2018-01-31 10:09:00,N/A,False
2018-01-31 10:00:00,2018-01-31 11:00:00,Up,8086.743605,8059.192298,8060.642367,2018-01-31 11:00:00,2018-01-31 11:20:00,True
2018-01-31 11:00:00,2018-01-31 12:00:00,Down,8083.843468,8056.582174,8079.493261,2018-01-31 12:00:00,2018-01-31 12:52:00,True
2018-01-31 12:00:00,2018-01-31 13:00:00,Down,8092.253867,8076.30311,8080.073289,2018-01-31 13:01:00,2018-01-31 13:20:00,True
2018-01-31 13:00:00,2018-01-31 14:00:00,Up,8096.314059,8040.631418,8053.972051,2018-01-31 14:03:00,2018-01-31 14:27:00,True
2018-01-31 18:00:00,2018-01-31 19:00:00,Down,8099.794224,8084.713509,8093.413922,2018-01-31 19:10:00,N/A,False
2018-01-31 20:00:00,2018-01-31 21:00:00,Up,8106.174527,8097.1841,8098.344155,2018-01-31 21:00:00,2018-01-31 21:20:00,True
2018-01-31 22:00:00,2018-01-31 23:00:00,Down,8104.434444,8100.374252,8103.854417,2018-01-31 23:08:00,2018-01-31 23:20:00,True
2018-01-31 23:00:00,2018-02-01 00:00:00,Up,8105.594499,8097.764128,8098.634169,2018-02-01 00:18:00,2018-02-01 00:21:00,True
2018-02-01 00:00:00,2018-02-01 01:00:00,Down,8100.664265,8096.604073,8098.344155,2018-02-01 01:02:00,2018-02-01 01:20:00,True
2018-02-01 02:00:00,2018-02-01 03:00:00,Up,8101.244293,8085.873564,8087.323633,2018-02-01 03:00:00,2018-02-01 03:40:00,True
2018-02-01 03:00:00,2018-02-01 04:00:00,Up,8089.933756,8077.463165,8078.043192,2018-02-01 04:00:00,2018-02-01 04:20:00,True
2018-02-01 04:00:00,2018-02-01 05:00:00,Up,8088.773701,8076.30311,8076.30311,2018-02-01 05:00:00,2018-02-01 05:20:00,True
2018-02-01 05:00:00,2018-02-01 06:00:00,Up,8084.423495,8072.242917,8075.433069,2018-02-01 06:01:00,N/A,False
2018-02-01 06:00:00,2018-02-01 07:00:00,Up,8075.433069,8059.192298,8071.372876,2018-02-01 07:16:00,N/A,False
2018-02-01 07:00:00,2018-02-01 08:00:00,Up,8071.66289,8009.309932,8022.360551,2018-02-01 08:10:00,2018-02-01 08:30:00,True
2018-02-01 08:00:00,2018-02-01 09:00:00,Down,8068.182725,8002.059588,8061.512408,2018-02-01 09:02:00,2018-02-01 09:27:00,True
2018-02-01 10:00:00,2018-02-01 11:00:00,Down,8088.193674,8060.642367,8083.843468,2018-02-01 11:01:00,2018-02-01 11:20:00,True
2018-02-01 11:00:00,2018-02-01 12:00:00,Down,8088.483688,8071.952904,8082.973426,2018-02-01 12:01:00,2018-02-01 12:35:00,True
2018-02-01 12:00:00,2018-02-01 13:00:00,Up,8096.604073,8049.911858,8051.941954,2018-02-01 13:03:00,2018-02-01 13:57:00,True
2018-02-01 18:00:00,2018-02-01 19:00:00,Up,8068.182725,8051.941954,8056.582174,2018-02-01 19:08:00,N/A,False
2018-02-01 20:00:00,2018-02-01 21:00:00,Down,8049.621844,8029.900909,8049.041817,2018-02-01 21:00:00,2018-02-01 21:20:00,True
2018-02-01 21:00:00,2018-02-01 22:00:00,Up,8055.422119,8044.69161,8046.431693,2018-02-01 22:00:00,2018-02-01 22:24:00,True
2018-02-01 23:00:00,2018-02-02 00:00:00,Up,8046.141679,8034.541129,8037.73128,2018-02-02 00:06:00,2018-02-02 00:20:00,True
2018-02-02 00:00:00,2018-02-02 01:00:00,Down,8042.661514,8033.671088,8042.3715,2018-02-02 01:00:00,2018-02-02 01:20:00,True
2018-02-02 01:00:00,2018-02-02 02:00:00,Up,8050.491885,8027.580799,8036.861239,2018-02-02 02:17:00,N/A,False
